eup,tong,male,female
기장읍,동부 1 ( 1통),1013,976
기장읍,동부 2 ( 2통),1043,1028
기장읍,서   부 ( 3통),190,198
기장읍,동   서 ( 4통),109,82
기장읍,두   화 ( 5통),15,7
기장읍,교리 1 ( 6통),1187,1241
기장읍,소정 1 ( 7통),101,90
기장읍,소정 2 ( 8통),33,37
기장읍,오   신 ( 9통),59,53
기장읍,내   동 (10통),56,41
기장읍,석   산 (11통),78,64
기장읍,당   사 (12통),81,98
기장읍,동   암 (13통),183,149
기장읍,공   수 (14통),154,131
기장읍,신   암 (15통),201,211
기장읍,서   암 (16통),97,81
기장읍,대   변 (17통),320,327
기장읍,무   양 (18통),437,438
기장읍,두   호 (19통),139,172
기장읍,월   전 (20통),130,145
기장읍,원죽 1 (21통),53,81
기장읍,원죽 2 (22통),166,810
기장읍,원마 1 (23통),2252,2185
기장읍,원마 2 (24통),1960,2037
기장읍,사   라 (25통),819,817
기장읍,신   천 (26통),64,57
기장읍,덕발 1 (27통),1058,1078
기장읍,덕발 2 (28통),395,441
기장읍,무   곡 (29통),92,66
기장읍,교리 2 (30통),1214,1169
기장읍,덕발 3 (31통),1063,1097
기장읍,동부 3 (32통),1393,1537
기장읍,서부 2 (33통),697,706
기장읍,서부 3 (34통),853,899
기장읍,사라 2 (35통),1188,1293
기장읍,사라 3 (36통),1423,1283
기장읍,교리 3 (37통),904,1101
기장읍,덕발 4 (38통),687,723
기장읍,내리휴먼시아(39통),840,1127
기장읍,동부4(40통),1033,1039
기장읍,교리4(41통),1403,1453
기장읍,교리5(42통),768,713
기장읍,소정3(43통),413,394
기장읍,양경(44통),86,72
기장읍,소정4(45통),696,738
장안읍,좌   천 ( 1통),665,611
장안읍,시   장 ( 2통),106,91
장안읍,좌   동 ( 3통),88,88
장안읍,덕   산 ( 4통),40,28
장안읍,선   암 ( 5통),58,56
장안읍,내   덕 ( 6통),64,56
장안읍,용   소 ( 7통),101,98
장안읍,하   근 ( 8통),90,77
장안읍,기   룡 ( 9통),112,120
장안읍,하장안 (10통),87,78
장안읍,상장안 (11통),72,64
장안읍,대   명 (12통),56,43
장안읍,신   명 (13통),54,41
장안읍,도   야 (14통),109,77
장안읍,대   룡 (15통),114,95
장안읍,판   곡 (16통),40,40
장안읍,신   리 (17통),56,50
장안읍,개   천 (18통),69,63
장안읍,고   무 (19통),49,45
장안읍,반   룡 (20통),39,36
장안읍,길   천 (22통),852,677
장안읍,고   원 (23통),918,761
장안읍,월   내 (24통),645,607
장안읍,임   랑 (25통),283,245
장안읍,구   기 (26통),29,27
정관읍,예   림 ( 1통),244,201
정관읍,서   편 ( 2통),53,41
정관읍,독   점 ( 3통),21,21
정관읍,강변 1 ( 4통),143,155
정관읍,강변 2 ( 5통),129,110
정관읍,달산 1 ( 6통),46,18
정관읍,구 연 동(7통),353,289
정관읍,방곡 1 ( 8통),243,226
정관읍,덕   산 ( 9통),92,73
정관읍,매   곡 (10통),49,94
정관읍,상곡 1 (11통),74,45
정관읍,상곡 2 (12통),174,182
정관읍,가   동 (13통),547,524
정관읍,덕   전 (14통),53,52
정관읍,평   전 (15통),109,78
정관읍,산   막 (16통),107,105
정관읍,모전 1 (17통),345,337
정관읍,양   수 (18통),39,31
정관읍,병   산 (19통),72,62
정관읍,두   명 (20통),87,86
정관읍,월   평 (21통),194,187
정관읍,임   곡 (22통),130,134
정관읍,용수 1 (23통),1067,1178
정관읍,용수 2 (24통),774,790
정관읍,용수 3 (25통),1846,2109
정관읍,용수 4 (26통),1219,1274
정관읍,용수 5 (27통),1391,1445
정관읍,방곡 2 (28통),629,607
정관읍,달산 2 (29통),852,867
정관읍,모전 2 (30통),1046,1101
정관읍,모전 3 (31통),1413,1616
정관읍,모전 4 (32통),1437,1527
정관읍,달산 3 (33통),978,1095
정관읍,용수 6 (34통),2668,2711
정관읍,모전 5 (35통),1064,1072
정관읍,모전 6 (36통),1541,1594
정관읍,모전 7 (37통),2446,2553
정관읍,달산 4 (38통),1488,1555
정관읍,달산 5 (39통),1087,1254
정관읍,용수 7 (40통),807,835
정관읍,매  학 (41통),1827,1946
정관읍,모전 8 (42통),2216,2322
정관읍,용수 8 (43통),773,779
정관읍,달산 6 (44통),833,548
정관읍,대   전 (45통),575,495
정관읍,방곡 3 (46통),350,327
정관읍,방곡 4 (47통),764,708
정관읍,모전 9 (48통),1619,1697
정관읍,방곡 5 (49통),562,544
정관읍,용수 9 (50통),1188,1201
정관읍,모전 10(51통),1157,1171
정관읍,용수 10(52통),336,365
정관읍,방곡  6 (53통),569,581
정관읍,방곡  7 (54통),530,579
정관읍,강변  3 (55통),363,381
정관읍,모전  11 (56통),314,279
일광면,학   리 ( 1통),272,245
일광면,삼성 1 ( 2통),491,447
일광면,삼성 2 ( 3통),249,228
일광면,후   동 ( 4통),3,3
일광면,동   백 ( 5통),259,255
일광면,신   평 ( 6통),168,181
일광면,칠   암 ( 7통),282,277
일광면,문   중 ( 8통),169,156
일광면,문   동 ( 9통),160,163
일광면,원   당 (10통),132,124
일광면,상   리 (11통),50,38
일광면,하   리 (12통),42,47
일광면,광   산 (13통),46,41
일광면,청   광 (14통),42,39
일광면,화   전 (15통),124,127
일광면,당   곡 (16통),59,54
일광면,산수곡 (17통),32,35
일광면,대   리 (18통),45,32
일광면,회   룡 (19통),52,47
일광면,상   곡 (20통),32,17
일광면,횡   계 (21통),63,49
일광면,삼   덕 (22통),41,48
일광면,이   동 (23통),196,190
일광면,이천동 (24통),344,333
일광면,이천서 (25통),455,441
일광면,이천북(26통),652,625
철마면,와   여 ( 1통),154,148
철마면,백   길 ( 2통),48,43
철마면,석   길 ( 3통),48,46
철마면,중   리 ( 4통),144,134
철마면,미   동 ( 5통),41,41
철마면,구   림 ( 6통),86,59
철마면,마   지 ( 7통),71,62
철마면,이   곡 ( 8통),103,67
철마면,점   현 ( 9통),42,32
철마면,구   칠 (10통),52,47
철마면,신   리 (11통),64,50
철마면,장   전 (12통),142,121
철마면,대   곡 (13통),55,44
철마면,고   촌 (14통),130,136
철마면,사   등 (15통),38,20
철마면,안   평 (16통),165,157
철마면,송정 1 (17통),188,162
철마면,입   석 (19통),150,141
철마면,임   기 (20통),290,232
철마면,고촌 2 (21통),974,1102
철마면,고촌 3 (22통),652,674
철마면,고촌 4 (23통),643,658
,,3,3
,,2668,2711
